,player_id,actual_name,twitter_handle,position,height,height_inches,feet,inches,weight,shooting_hand,college,high_school,draft_team,draft_position,overall_pick,draft_round,round_pick,nba_debut,experience,nba_years,birthdate,birthyear,age,exact_age,birthplace,birthcity,birthstate,birthcountry,high_school_location,high_school_city,high_school_state,numbers,contract_terms,teams_colors,player_url,scrape_date
batumni01,batumni01,Nicolas Batum,@nicolas88batum,Small Forward,6'8,80,6,8,200,Right,,,Houston Rockets,1st round 25th pick 25th overall,25,1,25,10/28/08,5 years,5,12/14/88,1988,24,24y 0m 358d 0H 0M 0S,"Lisieux, France",Lisieux,,France,,,,88,"Signed offer sheet for an assumed $46,121,500 for 4 years that was matched on July 18, 2012.  Assumed signing bonus of $1,500,000 counts as $375,000 in each year of the contract.","poptip uni_square-color:#ffffff;background-color:#000000;border-color:#ff0000;-Portland Trail Blazers, 2009-2014",http://www.basketball-reference.com/players/b/batumni01.html,12/7/13 15:54
bayleje01,bayleje01,Jerryd Andrew Bayless,@jay_bay4,Point Guard-Shooting Guard,6'3,75,6,3,200,Right,University of Arizona,Saint Marys,Indiana Pacers,1st round 11th pick 11th overall,11,1,11,10/28/08,5 years,5,8/20/88,1988,25,25y 0m 108d 18H 0M 0S,"Phoenix, Arizona",Phoenix,Arizona,USA,"Phoenix, Arizona",Phoenix,Arizona,4;32;5;7,"Signed July 12, 2012 for an assumed $6,135,000 for 2 years.  Player Option for 2013-14 was picked up on June 28, 2013.","poptip uni_square-color:#ffffff;background-color:#000000;border-color:#ff0000;-Portland Trail Blazers, 2009-2010-poptip uni_square-color:#ffffff;background-color:#009acd;border-color:#551a8b;-New Orleans Hornets, 2011-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000000;-Toronto Raptors, 2011-2012-poptip uni_square-color:#ffffff;background-color:#191970;border-color:#6ca6cd;-Memphis Grizzlies, 2013-2014",http://www.basketball-reference.com/players/b/bayleje01.html,12/7/13 15:54
baynear01,baynear01,Aaron John Baynes,,Center,6'10,82,6,10,260,Right,Washington State University,,,,,,,1/25/13,1 year,1,12/9/86,1986,26,26y 0m 363d 12H 0M 0S,"Gisborne, New Zealand",Gisborne,,New Zealand,,,,16,"Signed January 22, 2013 for an assumed $1,028,460 for 2 years.","poptip uni_square-color:#ffffff;background-color:#000000;border-color:#c0c0c0;-San Antonio Spurs, 2013-2014",http://www.basketball-reference.com/players/b/baynear01.html,12/7/13 15:54
bazemke01,bazemke01,Kenneth Lamont Bazemore Jr.,@KentBazemore20,Shooting Guard,6'5,77,6,5,201,Left,Old Dominion University,Bertie,,,,,,11/9/12,1 year,1,7/1/89,1989,24,24y 0m 159d 0H 0M 0S,"Kelford, North Carolina",Kelford,North Carolina,USA,"Windsor, North Carolina",Windsor,North Carolina,20,"Signed July 26, 2012 for an assumed minimum salary for 2 years.  2013-14 is partially guaranteed for $25,000.","poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#ffd700;-Golden State Warriors, 2013-2014",http://www.basketball-reference.com/players/b/bazemke01.html,12/7/13 15:54
bealbr01,bealbr01,Bradley Emmanuel Beal,@RealDealBeal23,Shooting Guard,6'3,75,6,3,207,Right,University of Florida,Chaminade College Preparatory School,Washington Wizards,1st round 3rd pick 3rd overall,3,1,3,10/30/12,1 year,1,6/28/93,1993,20,20y 0m 162d 0H 0M 0S,"St Louis, Missouri",St Louis,Missouri,USA,"St Louis, Missouri",St Louis,Missouri,3,"Signed July 6, 2012.  Team Option for 2014-15 picked up on October 28, 2013.","poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000080;-Washington Wizards, 2013-2014",http://www.basketball-reference.com/players/b/bealbr01.html,12/7/13 15:54
beaslmi01,beaslmi01,Michael Paul Beasley,@MBEASLEY8,Small Forward-Power Forward,6'9,81,6,9,235,Left,Kansas State University,Notre Dame Preparatory School,Miami Heat,1st round 2nd pick 2nd overall,2,1,2,10/29/08,5 years,5,1/9/89,1989,24,24y 0m 332d 0H 0M 0S,"Frederick, Maryland",Frederick,Maryland,USA,"Fitchburg, Massachusetts",Fitchburg,Massachusetts,30;8;0;8,"Signed July 20, 2012 for an assumed $18,000,000 for 3 years.  2014-15 was not fully guaranteed.  Waived September 3, 2013 using terms of the stretch provision.","poptip uni_square-color:#ffffff;background-color:#000000;border-color:#8b0000;-Miami Heat, 2009-2010-poptip uni_square-color:#ffffff;background-color:#00688b;border-color:#000000;-Minnesota Timberwolves, 2011-2012-poptip uni_square-color:#ffffff;background-color:#800080;border-color:#ff4500;-Phoenix Suns, 2013-poptip uni_square-color:#ffffff;background-color:#000000;border-color:#8b0000;-Miami Heat, 2014",http://www.basketball-reference.com/players/b/beaslmi01.html,12/7/13 15:54
belinma01,belinma01,Marco Stefano Belinelli,@marcobelinelli,Shooting Guard-Point Guard-Small Forward,6'5,77,6,5,192,Right,,,Golden State Warriors,1st round 18th pick 18th overall,18,1,18,10/30/07,6 years,6,3/25/86,1986,27,27y 0m 257d 6H 0M 0S,"Bologna, Italy",Bologna,,Italy,,,,18;0;8;8;3,"Signed July 11, 2013 for an assumed $5,623,750 for 2 years.","poptip uni_square-color:#ffffff;background-color:#191970;border-color:#ff4500;-Golden State Warriors, 2008-2009-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000000;-Toronto Raptors, 2010-poptip uni_square-color:#ffffff;background-color:#009acd;border-color:#551a8b;-New Orleans Hornets, 2011-2012-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000000;-Chicago Bulls, 2013-poptip uni_square-color:#ffffff;background-color:#000000;border-color:#c0c0c0;-San Antonio Spurs, 2014",http://www.basketball-reference.com/players/b/belinma01.html,12/7/13 15:54
bennean01,bennean01,Anthony Harris Bennett,,Small Forward,6'8,80,6,8,240,Right,"University of Nevada, Las Vegas",Findlay College Prep,Cleveland Cavaliers,1st round 1st pick 1st overall,1,1,1,NA,Rookie,0,3/14/93,1993,20,20y 0m 268d 0H 0M 0S,"Toronto, Canada",Toronto,,Canada,"Henderson, Nevada",Henderson,Nevada,15,"Signed August 20, 2013.","poptip uni_square-color:#ffffff;background-color:#8b0000;border-color:#ffd700;-Cleveland Cavaliers, 2014",http://www.basketball-reference.com/players/b/bennean01.html,12/7/13 15:54
beverpa01,beverpa01,Patrick Beverley,@patbev21,Point Guard-Shooting Guard,6'1,73,6,1,180,Right,University of Arkansas,Marshall,Los Angeles Lakers,2nd round 12th pick 42nd overall,42,2,12,1/15/13,1 year,1,7/12/88,1988,25,25y 0m 147d 18H 0M 0S,"Chicago, Illinois",Chicago,Illinois,USA,"Chicago, Illinois",Chicago,Illinois,12;2,"Signed January 7, 2013 for an assumed minimum salary for the remainder of the season and for 2013-14 and 2014-15.  2013-14 is not guaranteed.","poptip uni_square-color:#ff0000;background-color:#ffffff;border-color:#ff0000;-Houston Rockets, 2013-poptip uni_square-color:#ff0000;background-color:#ffffff;border-color:#ff0000;-Houston Rockets, 2014",http://www.basketball-reference.com/players/b/beverpa01.html,12/7/13 15:54
biedran01,biedran01,Andris Biedrins,,Center,6'11,83,6,11,240,Left,,Valters Basketball School,Golden State Warriors,1st round 11th pick 11th overall,11,1,11,11/5/04,9 years,9,4/2/86,1986,27,27y 0m 249d 6H 0M 0S,"Riga, Latvia",Riga,,Latvia,"Riga Latvia, ",Riga Latvia,,15;15;11,"Signed July 28, 2008 for an assumed $54,000,000 plus incentives for 6 years.  ETO for 2013-14 was not exercised.  2013-14 has up to $2,000,000 in unlikely incentives not included here.","poptip uni_square-color:#ffffff;background-color:#191970;border-color:#ff4500;-Golden State Warriors, 2005-2010-poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#ffd700;-Golden State Warriors, 2011-2013-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#006400;-Utah Jazz, 2014",http://www.basketball-reference.com/players/b/biedran01.html,12/7/13 15:54
billuch01,billuch01,Chauncey Ray Billups,,Point Guard-Shooting Guard,6'3,75,6,3,202,Right,University of Colorado,George Washington,Boston Celtics,1st round 3rd pick 3rd overall,3,1,3,10/31/97,16 years,16,9/25/76,1976,37,37y 0m 72d 18H 0M 0S,"Denver, Colorado",Denver,Colorado,USA,"Denver, Colorado",Denver,Colorado,4;3;4;4;1;7;1;4;1,"Signed July 16, 2013 for an assumed $5,000,000 for 2 years.","poptip uni_square-color:#008000;background-color:#ffffff;border-color:#008000;-Boston Celtics, 1998-poptip uni_square-color:#ffffff;background-color:#800080;border-color:#ff0000;-Toronto Raptors, 1998-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#ff0000;-Denver Nuggets, 1999-2000-poptip uni_square-color:#ffffff;background-color:#00688b;border-color:#000000;-Minnesota Timberwolves, 2001-2002-poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#ff0000;-Detroit Pistons, 2003-2014-poptip uni_square-color:#ffffff;background-color:#6ca6cd;border-color:#000080;-Denver Nuggets, 2009-poptip uni_square-color:#ffffff;background-color:#6ca6cd;border-color:#000080;-Denver Nuggets, 2010-2011-poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#ff4500;-New York Knicks, 2011-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#0000ff;-Los Angeles Clippers, 2012-2013",http://www.basketball-reference.com/players/b/billuch01.html,12/7/13 15:54
biyombi01,biyombi01,Bismack Biyombo,@bismackbiyombo0,Center,6'9,81,6,9,229,Right,,,Sacramento Kings,1st round 7th pick 7th overall,7,1,7,12/26/11,2 years,2,8/28/92,1992,21,21y 0m 100d 18H 0M 0S,"Lubumbashi, Congo",Lubumbashi,,Congo,,,,0;0,"Signed December 19, 2011.  Team Option for 2013-14 picked up on October 26, 2012.  Team Option for 2014-15 picked up on October 31, 2013.","poptip uni_square-color:#ffffff;background-color:#191970;border-color:#ff4500;-Charlotte Bobcats, 2012-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#add8e6;-Charlotte Bobcats, 2013-2014",http://www.basketball-reference.com/players/b/biyombi01.html,12/7/13 15:54
blairde01,blairde01,DeJuan Lamont Blair,@DeJuan45,Power Forward,6'7,79,6,7,265,Right,University of Pittsburgh,Schenley,San Antonio Spurs,2nd round 7th pick 37th overall,37,2,7,10/28/09,4 years,4,4/22/89,1989,24,24y 0m 229d 0H 0M 0S,"Pittsburgh, Pennsylvania",Pittsburgh,Pennsylvania,USA,"Pittsburgh, Pennsylvania",Pittsburgh,Pennsylvania,45;45,"Signed August 7, 2013 for an assumed minimum salary for 1 year.","poptip uni_square-color:#ffffff;background-color:#000000;border-color:#c0c0c0;-San Antonio Spurs, 2010-2013-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#0000ff;-Dallas Mavericks, 2014",http://www.basketball-reference.com/players/b/blairde01.html,12/7/13 15:54
blakest01,blakest01,Steven Hanson Blake,@SteveBlake5,Point Guard,6'3,75,6,3,172,Right,University of Maryland,Oak Hill Academy,Washington Wizards,2nd round 9th pick 38th overall,38,2,9,10/29/03,10 years,10,2/26/80,1980,33,33y 0m 284d 18H 0M 0S,"Hollywood, Florida",Hollywood,Florida,USA,"Mouth of Wilson, Virginia",Mouth of Wilson,Virginia,2;2;5;25;2;5,"Signed July 8, 2010 for an assumed $16,000,000 for 4 years.","poptip uni_square-color:#ffffff;background-color:#00688b;border-color:#000000;-Washington Wizards, 2004-2005-poptip uni_square-color:#ffffff;background-color:#000000;border-color:#ff0000;-Portland Trail Blazers, 2006-2010-poptip uni_square-color:#ffffff;background-color:#006400;border-color:#ff0000;-Milwaukee Bucks, 2007-poptip uni_square-color:#ffffff;background-color:#6ca6cd;border-color:#0000cd;-Denver Nuggets, 2007-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#0000ff;-Los Angeles Clippers, 2010-poptip uni_square-color:#ffffff;background-color:#800080;border-color:#ffd700;-Los Angeles Lakers, 2011-2014",http://www.basketball-reference.com/players/b/blakest01.html,12/7/13 15:54
blatcan01,blatcan01,Andray Blatche,@drayblatche,Power Forward-Center,6'11,83,6,11,235,Right,,South Kent School,Washington Wizards,2nd round 19th pick 49th overall,49,2,19,11/11/05,8 years,8,8/22/86,1986,27,27y 0m 107d 6H 0M 0S,"Syracuse, New York",Syracuse,New York,USA,"South Kent, Connecticut",South Kent,Connecticut,32;7;7;0,"Signed July 11, 2013 for an assumed $2,813,110 for 2 years.  2014-15 is a Player Option.","poptip uni_square-color:#ffffff;background-color:#00688b;border-color:#000000;-Washington Wizards, 2006-2009-poptip uni_square-color:#ffffff;background-color:#00688b;border-color:#000000;-Washington Wizards, 2010-2011-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000080;-Washington Wizards, 2012-poptip uni_square-color:#000000;background-color:#ffffff;border-color:#000000;-Brooklyn Nets, 2013-2014",http://www.basketball-reference.com/players/b/blatcan01.html,12/7/13 15:54
bledser01,bledser01,Eric Bledsoe,@EBled2,Point Guard,6'1,73,6,1,190,Right,University of Kentucky,AH Parker,Oklahoma City Thunder,1st round 18th pick 18th overall,18,1,18,10/27/10,3 years,3,12/9/89,1989,23,23y 0m 363d 6H 0M 0S,"Birmingham, Alabama",Birmingham,Alabama,USA,"Birmingham, Alabama",Birmingham,Alabama,12;2,"Signed July 10, 2010.  Team Option for 2012-13 picked up on June 14, 2011.  Team Option for 2013-14 picked up on September 20, 2012.","poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#0000ff;-Los Angeles Clippers, 2011-2013-poptip uni_square-color:#ffffff;background-color:#800080;border-color:#ff8c00;-Phoenix Suns, 2014",http://www.basketball-reference.com/players/b/bledser01.html,12/7/13 15:54
boganke01,boganke01,Keith Ramon Bogans,,Shooting Guard-Small Forward,6'5,77,6,5,215,Right,University of Kentucky,DeMatha Catholic,Milwaukee Bucks,2nd round 14th pick 43rd overall,43,2,14,11/7/03,10 years,10,5/12/80,1980,33,33y 0m 208d 18H 0M 0S,"Alexandria, Virginia",Alexandria,Virginia,USA,"Hyattsville, Maryland",Hyattsville,Maryland,3;10;10;10;10;10;6;6;10;4,"Signed July 12, 2013 for an assumed $15,857,451 for 3 years.  2014-15 and 2015-16 are not guaranteed.","poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#000000;-Orlando Magic, 2004-poptip uni_square-color:#ffffff;background-color:#ff3030;border-color:#191970;-Charlotte Bobcats, 2005-2006-poptip uni_square-color:#ff0000;background-color:#ffffff;border-color:#ff0000;-Houston Rockets, 2006-poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#000000;-Orlando Magic, 2007-2009-poptip uni_square-color:#ffffff;background-color:#006400;border-color:#ff0000;-Milwaukee Bucks, 2009-poptip uni_square-color:#ffffff;background-color:#000000;border-color:#c0c0c0;-San Antonio Spurs, 2010-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000000;-Chicago Bulls, 2011-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#ff0000;-New Jersey Nets, 2012-poptip uni_square-color:#000000;background-color:#ffffff;border-color:#000000;-Brooklyn Nets, 2013-poptip uni_square-color:#008000;background-color:#ffffff;border-color:#008000;-Boston Celtics, 2014",http://www.basketball-reference.com/players/b/boganke01.html,12/7/13 15:54
bogutan01,bogutan01,Andrew Michael Bogut,@AndrewMBogut,Center-Power Forward,7'0,84,7,0,245,Right,University of Utah,Australian Institute of Sport,Milwaukee Bucks,1st round 1st pick 1st overall,1,1,1,11/1/05,8 years,8,11/28/84,1984,29,29y 0m 8d 18H 0M 0S,"Melbourne, Australia",Melbourne,,Australia,"Melbourne, Australia",Melbourne,Australia,6;6;12,"Signed extension on July 11, 2007 for an assumed $60,000,000 plus incentives for 5 years beginning in 2009-10.  2012-13 and 2013-14 each have up to $2,500,000 in unlikely incentives not included here.","poptip uni_square-color:#ffffff;background-color:#800080;border-color:#006400;-Milwaukee Bucks, 2006-poptip uni_square-color:#ffffff;background-color:#006400;border-color:#ff0000;-Milwaukee Bucks, 2007-2012-poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#ffd700;-Golden State Warriors, 2013-2014",http://www.basketball-reference.com/players/b/bogutan01.html,12/7/13 15:54
bonnema01,bonnema01,Matthew Robert Bonner,,Power Forward-Center,6'10,82,6,10,240,Right,University of Florida,Concord,Chicago Bulls,2nd round 16th pick 45th overall,45,2,16,11/3/04,9 years,9,4/5/80,1980,33,33y 0m 245d 18H 0M 0S,"Concord, New Hampshire",Concord,New Hampshire,USA,"Concord, New Hampshire",Concord,New Hampshire,16;15,"Signed July 20, 2010 for an assumed $13,890,000 plus incentives for 4 years.  2013-14 has up to $50,000 in unlikely incentives not included here.","poptip uni_square-color:#ffffff;background-color:#800080;border-color:#ff0000;-Toronto Raptors, 2005-2006-poptip uni_square-color:#ffffff;background-color:#000000;border-color:#c0c0c0;-San Antonio Spurs, 2007-2014",http://www.basketball-reference.com/players/b/bonnema01.html,12/7/13 15:54
booketr01,booketr01,Trevor Fitzgerald Booker,@35_Fitz,Power Forward,6'7,79,6,7,240,Left,Clemson University,Union County,Minnesota Timberwolves,1st round 23rd pick 23rd overall,23,1,23,10/28/10,3 years,3,11/25/87,1987,26,26y 0m 12d 12H 0M 0S,"Newberry, South Carolina",Newberry,South Carolina,USA,"Union, South Carolina",Union,South Carolina,35;35,"Signed July 8, 2010.  Team Option for 2012-13 picked up on June 19, 2011.  Team Option for 2013-14 picked up on October 19, 2012.","poptip uni_square-color:#ffffff;background-color:#00688b;border-color:#000000;-Washington Wizards, 2011-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000080;-Washington Wizards, 2012-2014",http://www.basketball-reference.com/players/b/booketr01.html,12/7/13 15:54
boozeca01,boozeca01,Carlos Austin Boozer Jr.,@MisterCbooz,Power Forward-Center,6'9,81,6,9,258,Right,Duke University,Juneau-Douglas,Cleveland Cavaliers,2nd round 6th pick 34th overall,34,2,6,10/29/02,11 years,11,11/20/81,1981,32,32y 0m 17d 0H 0M 0S,"Aschaffenburg, Germany",Aschaffenburg,,Germany,"Juneau, Alaska",Juneau,Alaska,1;1;5;5,"Signed July 8, 2010 for an assumed $75,000,000 for 5 years.","poptip uni_square-color:#ffffff;background-color:#000000;border-color:#0000ff;-Cleveland Cavaliers, 2003-poptip uni_square-color:#ffffff;background-color:#8b0000;border-color:#8b7500;-Cleveland Cavaliers, 2004-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#6ca6cd;-Utah Jazz, 2005-2010-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000000;-Chicago Bulls, 2011-2014",http://www.basketball-reference.com/players/b/boozeca01.html,12/7/13 15:54
boshch01,boshch01,Christopher Wesson Bosh,@chrisbosh,Center-Power Forward,6'10,82,6,10,228,Left,Georgia Institute of Technology,Lincoln,Toronto Raptors,1st round 4th pick 4th overall,4,1,4,10/29/03,10 years,10,3/24/84,1984,29,29y 0m 257d 18H 0M 0S,"Dallas, Texas",Dallas,Texas,USA,"Dallas, Texas",Dallas,Texas,4;4;1,"Signed July 9, 2010 for an assumed $109,837,500 for 6 years.  2015-16 is a Player Option.  2014-15 is an ETO.  Contract includes a 15% trade bonus.","poptip uni_square-color:#ffffff;background-color:#800080;border-color:#ff0000;-Toronto Raptors, 2004-2006-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000000;-Toronto Raptors, 2007-2010-poptip uni_square-color:#ffffff;background-color:#000000;border-color:#8b0000;-Miami Heat, 2011-2014",http://www.basketball-reference.com/players/b/boshch01.html,12/7/13 15:54
